"You need more permissions to do this.","你需要更多的權限來做到這一點.",module,Magento_Backend
"No search modules were registered","No search modules were registered",module,Magento_Backend
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated.",module,Magento_Backend
"You have entered an invalid password for current user.","You have entered an invalid password for current user.",module,Magento_Backend
"You saved the account.","您已保存帳戶.",module,Magento_Backend
"An error occurred while saving account.","An error occurred while saving account.",module,Magento_Backend
"You deleted the design change.","You deleted the design change.",module,Magento_Backend
"You can\'t delete the design change.","You can\'t delete the design change.",module,Magento_Backend
"Store Design","商店設計",module,Magento_Backend
"Edit Store Design Change","編輯商店設計改動",module,Magento_Backend
"You saved the design change.","已保存商店設計改動.",module,Magento_Backend
System,系統,module,Magento_Backend
"Manage Stores","管理商店",module,Magento_Backend
"The database was backed up.","資料庫已備份.",module,Magento_Backend
"We can't create a backup right now. Please try again later.","We can't create a backup right now. Please try again later.",module,Magento_Backend
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",module,Magento_Backend
"Something went wrong. Please try again.","Something went wrong. Please try again.",module,Magento_Backend
"This store cannot be deleted.","這商店不能被刪除.",module,Magento_Backend
"You deleted the store.","商店已被刪除.",module,Magento_Backend
"Unable to delete store. Please, try again later.","無法刪除商店.請稍後再試.",module,Magento_Backend
"This store view cannot be deleted.","這商店視圖不能被刪除.",module,Magento_Backend
"Store View","商店視圖",module,Magento_Backend
"You deleted the store view.","商店視圖已被刪除.",module,Magento_Backend
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later.",module,Magento_Backend
"This website cannot be deleted.","這網站不能被刪除.",module,Magento_Backend
"You deleted the website.","網站已被刪除.",module,Magento_Backend
"Unable to delete website. Please, try again later.","無法刪除網站.請稍後再試.",module,Magento_Backend
"The website does not exist.","網站不存在.",module,Magento_Backend
"Before modifying the website code please make sure it is not used in index.php.","Before modifying the website code please make sure it is not used in index.php.",module,Magento_Backend
"The store does not exist","商店不存在",module,Magento_Backend
"Store view doesn\'t exist","商店視圖不存在",module,Magento_Backend
"Before modifying the store view code please make sure it is not used in index.php.","Before modifying the store view code please make sure it is not used in index.php.",module,Magento_Backend
"New ","新增 ",module,Magento_Backend
"You saved the website.","網站已被保存.",module,Magento_Backend
"You saved the store.","商店已被保存.",module,Magento_Backend
"You saved the store view.","商店視圖已被保存.",module,Magento_Backend
"Something went wrong while saving. Please review the error log.","保存時發生錯誤,請檢查錯誤日誌.",module,Magento_Backend
